brstate|area_size
AC|124489066349.022
AM|1318311349050.42
AP|87097827681.9539
GO|7935389.87269
MA|24514406567.6069
MS|60278034.969893
MT|300565245526.38
PA|770096405441.329
RO|118505286248.141
RR|87914673069.6375
TO|9475696648.049
