brstate|area_size
AC|140039620131.64
AM|1417193827696.48
AP|109773751535.715
GO|3178133.802294
MA|33707606301.9056
MS|18921262.78502
MT|302068488618.579
PA|856975957010.012
RO|117232536293.219
RR|149288899529.04
TO|9460477196.73014
