brstate|area_size
AC|137010242582.837
AM|1348266003896.84
AP|82420174132.5117
GO|7935692.521889
MA|27726034959.5438
MS|66518861.868725
MT|296755046796.017
PA|796441386367.277
RO|113966935596.171
RR|123092183588.813
TO|9400662025.59982
