brstate|area_size
AC|139979214890.733
AM|1298701798148.82
AP|76263771199.3693
GO|7935015.104131
MA|32086220427.9072
MS|66516497.437055
MT|307295082902.63
PA|788601958956.26
RO|121225074551.246
RR|129179896285.867
TO|9555292655.86926
