brstate|area_size
AC|140628013188.753
AM|1363692868601.75
AP|80374372110.4269
GO|7935329.464084
MA|32876829466.7664
MS|66516367.378483
MT|305487374920.666
PA|811870458486.814
RO|119898480987.448
RR|113738466289.654
TO|9521607335.14824
